ProcessGroup,Process,CommodityOut,SectorGroup,Sector,EnduseGroup,EndUse,TechnologyGroup,Technology
Demand,C_HLTH-PH-Boiler-COA,C_HLTH-PH,Commercial,Healthcare,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Heat/Cooling Devices,Boiler Systems
Demand,C_HLTH-SH-Boiler-COA,C_HLTH-SH,Commercial,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_HLTH-WH-Boiler-COA,C_HLTH-WH,Commercial,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_HLTH-SH-Boiler-DSL,C_HLTH-SH,Commercial,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_HLTH-MPM-MPM-DSL,C_HLTH-MPM,Commercial,Healthcare,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
Demand,C_HLTH-SH-Boiler-NGA,C_HLTH-SH,Commercial,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_HLTH-PH-Burner-BIG,C_HLTH-PH,Commercial,Healthcare,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Heat/Cooling Devices,Burner (Direct Heat)
Demand,C_HLTH-SH-DirectH-GEO,C_HLTH-SH,Commercial,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Direct Heat
Demand,C_HLTH-SH-Boiler-WOD,C_HLTH-SH,Commercial,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OFFC-OTH-ELEC-ELC,C_OFFC-OTH,Commercial,Office Blocks,Electronics and Lighting,Electronics and Other Electrical Uses,Electronics and Lights,Electronics
Demand,C_OFFC-LT-FLU-ELC,C_OFFC-LT,Commercial,Office Blocks,Electronics and Lighting,Lighting,Electronics and Lights,Lights (Fluorescent)
Demand,C_OFFC-LT-INC-ELC,C_OFFC-LT,Commercial,Office Blocks,Electronics and Lighting,Lighting,Electronics and Lights,Lights (Incandescent)
Demand,C_OFFC-LT-LED-ELC,C_OFFC-LT,Commercial,Office Blocks,Electronics and Lighting,Lighting,Electronics and Lights,Lights (LED)
Demand,C_OFFC-SC-AIRHP-ELC,C_OFFC-SC,Commercial,Office Blocks,Heating/Cooling,Space Cooling,Heat/Cooling Devices,Heat Pump (for Cooling)
Demand,C_OFFC-SH-AIRHP-ELC,C_OFFC-SH,Commercial,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Heat Pump (for Heating)
Demand,C_OFFC-WH-AIRHP-ELC,C_OFFC-WH,Commercial,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Heat Pump (for Heating)
Demand,C_OFFC-WH-Cylinder-ELC,C_OFFC-WH,Commercial,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Hot Water Cylinder
Demand,C_OFFC-SH-RH-ELC,C_OFFC-SH,Commercial,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Resistance Heater
Demand,C_OFFC-MPS-MPS-ELC,C_OFFC-MPS,Commercial,Office Blocks,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Electric Motor
Demand,C_OFFC-SH-Boiler-COA,C_OFFC-SH,Commercial,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OFFC-WH-Boiler-COA,C_OFFC-WH,Commercial,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OFFC-SH-Boiler-DSL,C_OFFC-SH,Commercial,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OFFC-MPM-MPM-DSL,C_OFFC-MPM,Commercial,Office Blocks,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
Demand,C_OFFC-MPM-MPM-LPG,C_OFFC-MPM,Commercial,Office Blocks,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
Demand,C_OFFC-SH-Boiler-NGA,C_OFFC-SH,Commercial,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OFFC-SH-Burner-NGA,C_OFFC-SH,Commercial,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Burner (Direct Heat)
Demand,C_OFFC-WH-Cylinder-NGA,C_OFFC-WH,Commercial,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Hot Water Cylinder
Demand,C_OFFC-MPM-MPM-NGA,C_OFFC-MPM,Commercial,Office Blocks,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
Demand,C_OTH-OTH-ELEC-ELC,C_OTH-OTH,Commercial,Other,Electronics and Lighting,Electronics and Other Electrical Uses,Electronics and Lights,Electronics
Demand,C_OTH-LT-FLU-ELC,C_OTH-LT,Commercial,Other,Electronics and Lighting,Lighting,Electronics and Lights,Lights (Fluorescent)
Demand,C_OTH-LT-INC-ELC,C_OTH-LT,Commercial,Other,Electronics and Lighting,Lighting,Electronics and Lights,Lights (Incandescent)
Demand,C_OTH-LT-LED-ELC,C_OTH-LT,Commercial,Other,Electronics and Lighting,Lighting,Electronics and Lights,Lights (LED)
Demand,C_OTH-SC-AIRHP-ELC,C_OTH-SC,Commercial,Other,Heating/Cooling,Space Cooling,Heat/Cooling Devices,Heat Pump (for Cooling)
Demand,C_OTH-SH-AIRHP-ELC,C_OTH-SH,Commercial,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Heat Pump (for Heating)
Demand,C_OTH-WH-Cylinder-ELC,C_OTH-WH,Commercial,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Hot Water Cylinder
Demand,C_OTH-SH-RH-ELC,C_OTH-SH,Commercial,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Resistance Heater
Demand,C_OTH-MPS-MPS-ELC,C_OTH-MPS,Commercial,Other,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Electric Motor
Demand,C_OTH-PUMP-PUMP-ELC,C_OTH-PUMP,Commercial,Other,Stationary Motive Power,Pumping,Stationary Motors,"Pump Systems (for Fluids, etc.)"
Demand,C_OTH-SH-Boiler-COA,C_OTH-SH,Commercial,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OTH-WH-Boiler-COA,C_OTH-WH,Commercial,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OTH-SH-Boiler-DSL,C_OTH-SH,Commercial,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OTH-MPM-MPM-DSL,C_OTH-MPM,Commercial,Other,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
Demand,C_OTH-SH-Boiler-NGA,C_OTH-SH,Commercial,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_OTH-SH-Burner-NGA,C_OTH-SH,Commercial,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Burner (Direct Heat)
Demand,C_OTH-WH-Cylinder-NGA,C_OTH-WH,Commercial,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Hot Water Cylinder
Demand,C_OTH-MPM-MPM-PET,C_OTH-MPM,Commercial,Other,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
Demand,C_OTH-PH-Burner-BIG,C_OTH-PH,Commercial,Other,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Heat/Cooling Devices,Burner (Direct Heat)
Demand,C_OTH-WH-DirectH-GEO,C_OTH-WH,Commercial,Other,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Direct Heat
Demand,C_WSR-OTH-ELEC-ELC,C_WSR-OTH,Commercial,WSR,Electronics and Lighting,Electronics and Other Electrical Uses,Electronics and Lights,Electronics
Demand,C_WSR-LT-FLU-ELC,C_WSR-LT,Commercial,WSR,Electronics and Lighting,Lighting,Electronics and Lights,Lights (Fluorescent)
Demand,C_WSR-LT-INC-ELC,C_WSR-LT,Commercial,WSR,Electronics and Lighting,Lighting,Electronics and Lights,Lights (Incandescent)
Demand,C_WSR-LT-LED-ELC,C_WSR-LT,Commercial,WSR,Electronics and Lighting,Lighting,Electronics and Lights,Lights (LED)
Demand,C_WSR-CK-CK-ELC,C_WSR-CK,Commercial,WSR,Heating/Cooling,"Intermediate Heat (100-300 C), Cooking",Heat/Cooling Devices,Cooking Elements
Demand,C_WSR-CK-Ovens-ELC,C_WSR-CK,Commercial,WSR,Heating/Cooling,"Intermediate Heat (100-300 C), Cooking",Heat/Cooling Devices,Cooking Ovens
Demand,C_WSR-SC-AIRHP-ELC,C_WSR-SC,Commercial,WSR,Heating/Cooling,Space Cooling,Heat/Cooling Devices,Heat Pump (for Cooling)
Demand,C_WSR-SH-AIRHP-ELC,C_WSR-SH,Commercial,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Heat Pump (for Heating)
Demand,C_WSR-WH-Cylinder-ELC,C_WSR-WH,Commercial,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Hot Water Cylinder
Demand,C_WSR-RF-Refriger-ELC,C_WSR-RF,Commercial,WSR,Heating/Cooling,Refrigeration,Heat/Cooling Devices,Refrigeration Systems
Demand,C_WSR-SH-RH-ELC,C_WSR-SH,Commercial,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Resistance Heater
Demand,C_WSR-MPS-MPS-ELC,C_WSR-MPS,Commercial,WSR,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Electric Motor
Demand,C_WSR-SH-Boiler-COA,C_WSR-SH,Commercial,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_WSR-WH-Boiler-COA,C_WSR-WH,Commercial,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_WSR-SH-Burner-COA,C_WSR-SH,Commercial,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Burner (Direct Heat)
Demand,C_WSR-SH-Boiler-DSL,C_WSR-SH,Commercial,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_WSR-MPM-MPM-DSL,C_WSR-MPM,Commercial,WSR,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
Demand,C_WSR-SH-Boiler-LPG,C_WSR-SH,Commercial,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_WSR-SH-Burner-LPG,C_WSR-SH,Commercial,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Burner (Direct Heat)
Demand,C_WSR-CK-Ovens-LPG,C_WSR-CK,Commercial,WSR,Heating/Cooling,"Intermediate Heat (100-300 C), Cooking",Heat/Cooling Devices,Cooking Ovens
Demand,C_WSR-MPM-MPM-LPG,C_WSR-MPM,Commercial,WSR,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
Demand,C_WSR-SH-Boiler-NGA,C_WSR-SH,Commercial,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_WSR-SH-Burner-NGA,C_WSR-SH,Commercial,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Burner (Direct Heat)
Demand,C_WSR-CK-Ovens-NGA,C_WSR-CK,Commercial,WSR,Heating/Cooling,"Intermediate Heat (100-300 C), Cooking",Heat/Cooling Devices,Cooking Ovens
Demand,C_WSR-WH-Cylinder-NGA,C_WSR-WH,Commercial,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Hot Water Cylinder
Demand,C_WSR-MPM-MPM-NGA,C_WSR-MPM,Commercial,WSR,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
Demand,C_WSR-SH-DirectH-GEO,C_WSR-SH,Commercial,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Direct Heat
Demand,C_WSR-WH-DirectH-GEO,C_WSR-WH,Commercial,WSR,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Direct Heat
Demand,C_EDU-SH-Boiler-LPG,C_EDU-SH,Commercial,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_EDU-SH-Boiler-PLT,C_EDU-SH,Commercial,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_EDU-SH-Boiler-ELC,C_EDU-SH,Commercial,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_EDU-SH-Boiler-BIG,C_EDU-SH,Commercial,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_EDU-SH-Boiler-H2R,C_EDU-SH,Commercial,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_EDU-WH-Boiler-LPG,C_EDU-WH,Commercial,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_EDU-WH-Boiler-WOD,C_EDU-WH,Commercial,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_EDU-WH-Boiler-PLT,C_EDU-WH,Commercial,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_EDU-WH-Boiler-BIG,C_EDU-WH,Commercial,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_EDU-WH-Boiler-H2R,C_EDU-WH,Commercial,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_EDU-SH-GHP-ELC,C_EDU-SH,Commercial,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Heat Pump Ground Source (for Heating)
Demand,C_EDU-WH-AIRHP-ELC,C_EDU-WH,Commercial,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Heat Pump (for Heating)
Demand,C_EDU-WH-GHP-ELC,C_EDU-WH,Commercial,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Heat Pump Ground Source (for Heating)
Demand,C_EDU-WH-Cylinder-LPG,C_EDU-WH,Commercial,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Hot Water Cylinder
Demand,C_EDU-WH-Instant-NGA,C_EDU-WH,Commercial,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Instantaneous Water Heater
Demand,C_EDU-WH-Instant-LPG,C_EDU-WH,Commercial,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Instantaneous Water Heater
Demand,C_EDU-WH-Instant-ELC,C_EDU-WH,Commercial,Education,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Instantaneous Water Heater
Demand,C_EDU-MPM-MPM-LPG,C_EDU-MPM,Commercial,Education,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
Demand,C_EDU-MPM-MPM-ELC,C_EDU-MPM,Commercial,Education,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
Demand,C_EDU-MPM-MPM-H2R,C_EDU-MPM,Commercial,Education,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
Demand,C_EDU-MPS-MPS-DSL,C_EDU-MPS,Commercial,Education,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
Demand,C_EDU-MPS-MPS-LPG,C_EDU-MPS,Commercial,Education,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
Demand,C_EDU-MPS-MPS-H2R,C_EDU-MPS,Commercial,Education,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
Demand,C_EDU-SC-GHP-ELC,C_EDU-SC,Commercial,Education,Heating/Cooling,Space Cooling,Heat/Cooling Devices,Heat Pump Ground Source (for Cooling)
Demand,C_HLTH-SH-Boiler-LPG,C_HLTH-SH,Commercial,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_HLTH-SH-Boiler-PLT,C_HLTH-SH,Commercial,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_HLTH-SH-Boiler-ELC,C_HLTH-SH,Commercial,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_HLTH-SH-Boiler-BIG,C_HLTH-SH,Commercial,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_HLTH-SH-Boiler-H2R,C_HLTH-SH,Commercial,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_HLTH-WH-Boiler-LPG,C_HLTH-WH,Commercial,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_HLTH-WH-Boiler-NGA,C_HLTH-WH,Commercial,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_HLTH-WH-Boiler-WOD,C_HLTH-WH,Commercial,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_HLTH-WH-Boiler-PLT,C_HLTH-WH,Commercial,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_HLTH-WH-Boiler-ELC,C_HLTH-WH,Commercial,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_HLTH-WH-Boiler-BIG,C_HLTH-WH,Commercial,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_HLTH-WH-Boiler-H2R,C_HLTH-WH,Commercial,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
Demand,C_HLTH-PH-Boiler-DSL,C_HLTH-PH,Commercial,Healthcare,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Heat/Cooling Devices,Boiler Systems
Demand,C_HLTH-PH-Boiler-LPG,C_HLTH-PH,Commercial,Healthcare,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Heat/Cooling Devices,Boiler Systems
Demand,C_HLTH-PH-Boiler-NGA,C_HLTH-PH,Commercial,Healthcare,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Heat/Cooling Devices,Boiler Systems
Demand,C_HLTH-PH-Boiler-WOD,C_HLTH-PH,Commercial,Healthcare,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Heat/Cooling Devices,Boiler Systems
Demand,C_HLTH-PH-Boiler-PLT,C_HLTH-PH,Commercial,Healthcare,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Heat/Cooling Devices,Boiler Systems
Demand,C_HLTH-PH-Boiler-BIG,C_HLTH-PH,Commercial,Healthcare,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Heat/Cooling Devices,Boiler Systems
Demand,C_HLTH-PH-Boiler-H2R,C_HLTH-PH,Commercial,Healthcare,Heating/Cooling,"Intermediate Heat (100-300 C), Process Requirements",Heat/Cooling Devices,Boiler Systems
