Attribute,Commodity,Process,Period,Region,Vintage,TimeSlice,UserConstraint,Value,Scenario,Variable,ProcessGroup,Description,CommodityGroup,SectorGroup,Sector,EndUse
VAR_FOut,ADCF-MoTP-Stat,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0314740979600003,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,"Agriculture, Forestry, and Fishing",Dairy Cattle Farming,"Motive Power, Stationary"
VAR_FOut,ADCF-PUMP,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0471731306666667,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,"Agriculture, Forestry, and Fishing",Dairy Cattle Farming,Pumping
VAR_FOut,ADCF-RFGR,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.1474376005,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,"Agriculture, Forestry, and Fishing",Dairy Cattle Farming,Refrigeration
VAR_FOut,ADCF-WH,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0840471299374972,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,"Agriculture, Forestry, and Fishing",Dairy Cattle Farming,"Low Temperature Heat (<100 C), Water Heating"
VAR_FOut,AFISH-LT,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0003005963333335,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,"Agriculture, Forestry, and Fishing","Fishing, Hunting and Trapping",Lighting
VAR_FOut,AFISH-MoTP-Mob,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0052419176100014,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,"Agriculture, Forestry, and Fishing","Fishing, Hunting and Trapping","Motive Power, Mobile"
VAR_FOut,AFISH-MoTP-Stat,IMPDEMZ,2024,NI,2024,ANNUAL,-,9.02025600005958e-05,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,"Agriculture, Forestry, and Fishing","Fishing, Hunting and Trapping","Motive Power, Stationary"
VAR_FOut,AFISH-OTH,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0004832280000003,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,"Agriculture, Forestry, and Fishing","Fishing, Hunting and Trapping",Electronics and Other Electrical Uses
VAR_FOut,AFISH-RFGR,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.009661131,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,"Agriculture, Forestry, and Fishing","Fishing, Hunting and Trapping",Refrigeration
VAR_FOut,AFORE-LT,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0013596650666669,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,"Agriculture, Forestry, and Fishing",Forestry and Logging,Lighting
VAR_FOut,AFORE-MoTP-Mob,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0088423100900011,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,"Agriculture, Forestry, and Fishing",Forestry and Logging,"Motive Power, Mobile"
VAR_FOut,AFORE-MoTP-Stat,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0083874756100005,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,"Agriculture, Forestry, and Fishing",Forestry and Logging,"Motive Power, Stationary"
VAR_FOut,AFORE-OTH,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.00075427425,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,"Agriculture, Forestry, and Fishing",Forestry and Logging,Electronics and Other Electrical Uses
VAR_FOut,AFORE-PH,IMPDEMZ,2024,NI,2024,ANNUAL,-,2.33444000000001e-05,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,"Agriculture, Forestry, and Fishing",Forestry and Logging,"Intermediate Heat (100-300 C), Process Requirements"
VAR_FOut,AHORT-IRG,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0113277960800004,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,"Agriculture, Forestry, and Fishing",Horticulture (Outdoor),Irrigation
VAR_FOut,AHORT-LT,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0031884482000001,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,"Agriculture, Forestry, and Fishing",Horticulture (Outdoor),Lighting
VAR_FOut,AHORT-MoTP-Mob,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0076110805727944,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,"Agriculture, Forestry, and Fishing",Horticulture (Outdoor),"Motive Power, Mobile"
VAR_FOut,AHORT-MoTP-Stat,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0013865862000002,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,"Agriculture, Forestry, and Fishing",Horticulture (Outdoor),"Motive Power, Stationary"
VAR_FOut,AINDC-LT,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0004358260666669,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,"Agriculture, Forestry, and Fishing",Indoor Cropping,Lighting
VAR_FOut,AINDC-MoTP-Stat,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0003735648000003,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,"Agriculture, Forestry, and Fishing",Indoor Cropping,"Motive Power, Stationary"
VAR_FOut,AINDC-SH,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0568387761000001,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,"Agriculture, Forestry, and Fishing",Indoor Cropping,"Low Temperature Heat (<100 C), Space Heating"
VAR_FOut,ALIVE-IRG,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0068043651500004,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,"Agriculture, Forestry, and Fishing",Livestock Farming,Irrigation
VAR_FOut,ALIVE-LT,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0034635230000002,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,"Agriculture, Forestry, and Fishing",Livestock Farming,Lighting
VAR_FOut,ALIVE-MoTP-Mob,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0180536097580888,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,"Agriculture, Forestry, and Fishing",Livestock Farming,"Motive Power, Mobile"
VAR_FOut,AOTH-MoTP-Stat,IMPDEMZ,2024,NI,2024,ANNUAL,-,3.76038600000634e-05,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,"Agriculture, Forestry, and Fishing",Other Agriculture,"Motive Power, Stationary"
VAR_FOut,AOTH-PH,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0463453607400006,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,"Agriculture, Forestry, and Fishing",Other Agriculture,"Intermediate Heat (100-300 C), Process Requirements"
VAR_FOut,AOTH-SH,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0039210266666674,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,"Agriculture, Forestry, and Fishing",Other Agriculture,"Low Temperature Heat (<100 C), Space Heating"
VAR_FOut,CHEM-BOILR-PH_HIGH,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.11164606332,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Industry,Chemicals (excl. Urea and Methanol),"High Temperature Heat (>300 C), Process Requirements"
VAR_FOut,CHEM-BURNR-PH_HIGH,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0199308608000006,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Industry,Chemicals (excl. Urea and Methanol),"High Temperature Heat (>300 C), Process Requirements"
VAR_FOut,CHEM-ELCTR-ELCTR,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0002210400000003,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Industry,Chemicals (excl. Urea and Methanol),Electronics and Other Electrical Uses
VAR_FOut,CHEM-FURNC-PH_HIGH,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.009409793600001,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Industry,Chemicals (excl. Urea and Methanol),"High Temperature Heat (>300 C), Process Requirements"
VAR_FOut,CHEM-FURNC-PH_INT,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0111166024000003,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Industry,Chemicals (excl. Urea and Methanol),"Intermediate Heat (100-300 C), Process Requirements"
VAR_FOut,CHEM-HEATR-PH_INT,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0098190286666662,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Industry,Chemicals (excl. Urea and Methanol),"Intermediate Heat (100-300 C), Process Requirements"
VAR_FOut,CHEM-LIGHT-LIGHT,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0023612810000001,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Industry,Chemicals (excl. Urea and Methanol),Lighting
VAR_FOut,CHEM-MOTOR-MTV_STA,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.125917240499999,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Industry,Chemicals (excl. Urea and Methanol),"Motive Power, Stationary"
VAR_FOut,CHEM-SH_LOW,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0011889433333349,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Industry,Chemicals (excl. Urea and Methanol),"Low Temperature Heat (<100 C), Space Heating"
VAR_FOut,CNST-ELCTR-ELCTR,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.001522975000001,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Industry,Construction,Electronics and Other Electrical Uses
VAR_FOut,CNST-ENGIN-MTV_STA,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0119020283000007,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Industry,Construction,"Motive Power, Stationary"
VAR_FOut,CNST-ICENG-MTV_MOB,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0634187355500007,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Industry,Construction,"Motive Power, Mobile"
VAR_FOut,CNST-LIGHT-LIGHT,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0125534710000002,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Industry,Construction,Lighting
VAR_FOut,CNST-MOTOR-MTV_STA,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0604633437000002,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Industry,Construction,"Motive Power, Stationary"
VAR_FOut,CNST-SH_LOW,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0221412176353072,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Industry,Construction,"Low Temperature Heat (<100 C), Space Heating"
VAR_FOut,C_DATA-LT,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0006111840333336,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Data Centre,Lighting
VAR_FOut,C_DATA-OTH,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.134280720000001,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Data Centre,Electronics and Other Electrical Uses
VAR_FOut,C_DATA-SC,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0377496000000015,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Data Centre,Space Cooling
VAR_FOut,C_EDU-LT,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0203462579500004,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Education,Lighting
VAR_FOut,C_EDU-MPM,IMPDEMZ,2024,NI,2024,ANNUAL,-,6.72140000001516e-05,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Education,"Motive Power, Mobile"
VAR_FOut,C_EDU-MPS,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0008016596900003,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Education,"Motive Power, Stationary"
VAR_FOut,C_EDU-OTH,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0200714827500001,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Education,Electronics and Other Electrical Uses
VAR_FOut,C_EDU-RF,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0003595432500002,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Education,Refrigeration
VAR_FOut,C_EDU-SC,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0356981065000003,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Education,Space Cooling
VAR_FOut,C_EDU-SH,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.145371284706667,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Education,"Low Temperature Heat (<100 C), Space Heating"
VAR_FOut,C_EDU-WH,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0076578680625013,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Education,"Low Temperature Heat (<100 C), Water Heating"
VAR_FOut,C_HLTH-LT,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0180518921500007,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Healthcare,Lighting
VAR_FOut,C_HLTH-MPM,IMPDEMZ,2024,NI,2024,ANNUAL,-,7.60967000001127e-05,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Healthcare,"Motive Power, Mobile"
VAR_FOut,C_HLTH-MPS,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0061287165000006,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Healthcare,"Motive Power, Stationary"
VAR_FOut,C_HLTH-OTH,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0520748055000005,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Healthcare,Electronics and Other Electrical Uses
VAR_FOut,C_HLTH-PH,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0271106612400017,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Healthcare,"Intermediate Heat (100-300 C), Process Requirements"
VAR_FOut,C_HLTH-RF,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0144545197500003,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Healthcare,Refrigeration
VAR_FOut,C_HLTH-SC,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0712536895,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Healthcare,Space Cooling
VAR_FOut,C_HLTH-SH,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.154651339803335,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Healthcare,"Low Temperature Heat (<100 C), Space Heating"
VAR_FOut,C_HLTH-WH,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0319301184750022,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Healthcare,"Low Temperature Heat (<100 C), Water Heating"
VAR_FOut,C_OFFC-LT,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.103244766283335,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Office Blocks,Lighting
VAR_FOut,C_OFFC-MPM,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0115365432200004,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Office Blocks,"Motive Power, Mobile"
VAR_FOut,C_OFFC-MPS,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0452143053000006,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Office Blocks,"Motive Power, Stationary"
VAR_FOut,C_OFFC-OTH,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.2433768075,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Office Blocks,Electronics and Other Electrical Uses
VAR_FOut,C_OFFC-SC,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.368932990999999,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Office Blocks,Space Cooling
VAR_FOut,C_OFFC-SH,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.428816098813334,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Office Blocks,"Low Temperature Heat (<100 C), Space Heating"
VAR_FOut,C_OFFC-WH,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0590788791375023,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Office Blocks,"Low Temperature Heat (<100 C), Water Heating"
VAR_FOut,C_OTH-LT,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0275399234666683,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Other,Lighting
VAR_FOut,C_OTH-MPM,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0344507352000011,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Other,"Motive Power, Mobile"
VAR_FOut,C_OTH-MPS,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0282173238000004,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Other,"Motive Power, Stationary"
VAR_FOut,C_OTH-OTH,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.06073676325,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Other,Electronics and Other Electrical Uses
VAR_FOut,C_OTH-PH,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0123829333333348,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Other,"Intermediate Heat (100-300 C), Process Requirements"
VAR_FOut,C_OTH-PUMP,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0019966977000014,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Other,Pumping
VAR_FOut,C_OTH-SC,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0930982219999988,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Other,Space Cooling
VAR_FOut,C_OTH-SH,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.106437583039999,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Other,"Low Temperature Heat (<100 C), Space Heating"
VAR_FOut,C_OTH-WH,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0554267952750035,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,Other,"Low Temperature Heat (<100 C), Water Heating"
VAR_FOut,C_WSR-CK,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0814323189150035,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,WSR,"Intermediate Heat (100-300 C), Cooking"
VAR_FOut,C_WSR-LT,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0953645862833339,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,WSR,Lighting
VAR_FOut,C_WSR-MPM,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0016735697800002,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,WSR,"Motive Power, Mobile"
VAR_FOut,C_WSR-MPS,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.116983195200001,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,WSR,"Motive Power, Stationary"
VAR_FOut,C_WSR-OTH,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.147763208250001,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,WSR,Electronics and Other Electrical Uses
VAR_FOut,C_WSR-RF,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.965499227999998,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,WSR,Refrigeration
VAR_FOut,C_WSR-SC,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.101805315499999,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,WSR,Space Cooling
VAR_FOut,C_WSR-SH,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.389195537831669,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,WSR,"Low Temperature Heat (<100 C), Space Heating"
VAR_FOut,C_WSR-WH,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.188112645825003,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Commercial,WSR,"Low Temperature Heat (<100 C), Water Heating"
VAR_FOut,DARY-ACOMP-COMP_AIR,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0100388450000008,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Industry,Dairy,Compressed Air
VAR_FOut,DARY-BOILR-PH_INT,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.523949083329996,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Industry,Dairy,"Intermediate Heat (100-300 C), Process Requirements"
VAR_FOut,DARY-BOILR-PH_LOW,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.352104265119996,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Industry,Dairy,"Low Temperature Heat (<100 C), Process Requirements"
VAR_FOut,DARY-BOILR-WH_LOW,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.600934514909988,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Industry,Dairy,"Low Temperature Heat (<100 C), Water Heating"
VAR_FOut,DARY-FAN-FAN,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0530427518749999,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Industry,Dairy,Fans
VAR_FOut,DARY-FRIDG-FRIDG,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0337845354999993,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Industry,Dairy,Refrigeration
VAR_FOut,DARY-HEATX-PH_INT,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.008570723458833,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Industry,Dairy,"Intermediate Heat (100-300 C), Process Requirements"
VAR_FOut,DARY-HEATX-WH_LOW,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0118357611517451,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Industry,Dairy,"Low Temperature Heat (<100 C), Water Heating"
VAR_FOut,DARY-LIGHT-LIGHT,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0125137420000008,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Industry,Dairy,Lighting
VAR_FOut,DARY-MOTOR-MTV_STA,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0159882408000006,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Industry,Dairy,"Motive Power, Stationary"
VAR_FOut,DARY-PUMP-PUMP,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0453074382000008,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Industry,Dairy,Pumping
VAR_FOut,DARY-SH_LOW,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.015817998000001,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Industry,Dairy,"Low Temperature Heat (<100 C), Space Heating"
VAR_FOut,DD-CH_INT,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.169603868831992,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Residential,Detached Dwelling,"Intermediate Heat (100-300 C), Cooking"
VAR_FOut,DD-C_DRY,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0036737617052443,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Residential,Detached Dwelling,"Low Temperature Heat (<100 C), Clothes Drying"
VAR_FOut,DD-C_WASH,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.006969547576561,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Residential,Detached Dwelling,"Low Temperature Heat (<100 C), Clothes Washing"
VAR_FOut,DD-D_WASH,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.0074241096162052,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Residential,Detached Dwelling,"Low Temperature Heat (< 100 C), Dishwashers"
VAR_FOut,DD-ELCTR,IMPDEMZ,2024,NI,2024,ANNUAL,-,1.18600994494413,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Residential,Detached Dwelling,Electronics and Other Electrical Uses
VAR_FOut,DD-FRIDG,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.358308161336175,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Residential,Detached Dwelling,Refrigeration
VAR_FOut,DD-LIGHT,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.221824139780713,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Residential,Detached Dwelling,Lighting
VAR_FOut,DD-MTV_MOB,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.177657250489332,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Residential,Detached Dwelling,"Motive Power, Mobile"
VAR_FOut,DD-S_COOL,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.207294038966063,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Residential,Detached Dwelling,Space Cooling
VAR_FOut,DD-S_HEAT,IMPDEMZ,2024,NI,2024,ANNUAL,-,1.71495847030402,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Residential,Detached Dwelling,"Low Temperature Heat (<100 C), Space Heating"
VAR_FOut,DD-WH_LOW,IMPDEMZ,2024,NI,2024,ANNUAL,-,0.557599312834265,traditional-v3_0_0,Production,Production,Infeasible Demand,Demand,Residential,Detached Dwelling,"Low Temperature Heat (<100 C), Water Heating"
